date,site_id,units_produced,downtime_minutes,power_kwh,rework_units,defects_ppm,staff_count,material_cost_per_unit,price_per_unit,temperature_c,rainfall_mm,holiday_flag
2025-01-01,S1,1307,50,4398,28,438,54,72.08,95.83,21.8,0.0,0
2025-01-01,S1,1313,54,4625,38,611,54,71.92,95.99,22.0,0.0,0
2025-01-01,S1,1152,29,3733,29,426,53,72.38,95.91,22.5,0.0,0
2025-01-01,S1,1258,44,4119,21,430,57,72.1,95.85,21.7,0.0,0
2025-01-01,S1,1169,71,4201,14,404,53,71.97,96.13,20.7,0.0,0
2025-01-01,S1,1215,87,4504,37,383,54,71.62,95.92,23.6,0.0,0
2025-01-01,S1,1207,73,4198,32,459,55,72.16,95.89,20.9,0.0,0
2025-01-01,S1,1280,34,4211,27,453,56,71.94,96.04,21.7,0.0,0
2025-01-01,S1,1392,77,4815,31,455,52,72.12,95.78,22.8,0.0,0
2025-01-01,S1,1275,64,4506,39,443,54,72.05,96.06,21.8,0.0,0
2025-01-01,S1,1220,32,4221,22,518,51,72.14,96.06,22.9,0.0,0
2025-01-01,S1,1207,63,3991,21,477,54,71.71,96.4,21.7,0.0,0
2025-01-02,S1,1310,49,4294,23,300,54,71.67,95.99,20.5,0.0,0
2025-01-02,S1,1267,69,4372,24,502,55,72.08,95.97,21.9,2.5,0
2025-01-02,S1,1321,54,4664,32,485,52,71.76,96.21,22.0,0.0,0
2025-01-02,S1,1411,78,4989,25,540,54,71.43,96.04,19.7,0.0,0
2025-01-02,S1,1120,47,3844,22,382,55,72.28,96.18,20.4,2.8,0
2025-01-02,S1,1398,38,4696,41,359,55,72.3,95.86,19.9,0.0,0
2025-01-02,S1,1179,56,3715,26,575,52,71.95,96.15,22.0,0.0,0
2025-01-02,S1,1249,193,5471,40,480,55,71.87,95.9,22.4,0.0,0
2025-01-02,S1,1294,55,4382,31,432,53,72.0,95.84,22.2,0.0,0
2025-01-02,S1,1342,26,4557,24,447,54,72.21,96.25,23.0,0.0,0
2025-01-02,S1,1358,41,4516,30,469,54,72.12,96.05,22.4,0.0,0
2025-01-02,S1,1177,31,3640,24,449,52,71.66,95.79,21.8,0.0,0
2025-01-03,S1,1246,293,6410,16,561,54,72.27,95.97,21.9,0.0,0
2025-01-03,S1,0,0,0,0,0,0,0.0,0.0,19.9,0.0,1
2025-01-03,S1,1300,180,5698,32,568,55,71.54,96.26,23.9,0.0,0
2025-01-03,S1,1332,43,4750,20,388,53,72.15,95.87,21.5,0.0,0
2025-01-03,S1,1239,65,4246,23,566,54,71.92,96.2,20.9,0.0,0
2025-01-03,S1,1189,54,4092,19,446,53,72.27,96.07,23.2,0.0,0
2025-01-03,S1,1155,28,4017,27,463,53,71.87,96.25,23.9,0.0,0
2025-01-03,S1,1163,43,4178,33,454,53,72.04,96.11,22.7,0.0,0
